Title,Year,Genre,Director,Cast,Languages,Plot
Frank and Ollie,1995.0,Documentary,Theodore Thomas,"Frank Thomas,Ollie Johnston,Glen Keane,Andrew Gaskill,John Canemaker",English,"Before computer graphics, special effects wizardry, and out-of-this world technology, the magic of animation flowed from the pencils of two of the greatest animators The Walt Disney Company ever produced -- Frank Thomas and Ollie Johnston. Frank and Ollie, the talent behind BAMBI, PINOCCHIO, LADY AND THE TRAMP, THE JUNGLE BOOK, and others, set the standard for such modern-day hits as THE LION KING. It was their creative genius that helped make Disney synonymous with brilliant animation, magnificent music, and emotional storytelling. Take a journey with these extraordinary artists as they share secrets, insights, and the inspiration behind some of the greatest animated movies the world has ever known!"
Ghost,1990.0,Comedy|Romance|Thriller,Jerry Zucker,"Patrick Swayze,Demi Moore,Whoopi Goldberg,Tony Goldwyn,Vincent Schiavelli",English,"Sam Wheat is a banker, Molly Jensen is an artist, and the two are madly in love. However, when Sam is murdered by his friend and corrupt business partner Carl Bruner over a shady business deal, he is left to roam the earth as a powerless spirit. When he learns of Carl's betrayal, Sam must seek the help of psychic Oda Mae Brown to set things right and protect Molly from Carl and his goons."
"Institute Benjamenta, or This Dream People Call Human Life",1995.0,Drama,"Stephen Quay,Timothy Quay","Alice Krige,Mark Rylance,Gottfried John,Daniel Smith,Joseph Alessi","Afrikaans,English,Deutsch,Español","Jakob arrives at the Institute Benjamenta (run by brother and sister Johannes and Lisa Benjamenta) to learn to become a servant. With seven other men, he studies under Lisa: absurd lessons of movement, drawing circles, and servility. He asks for a better room. No other students arrive and none leave for employment. Johannes is unhappy, imperious, and detached from the school's operation. Lisa is beautiful, at first tightly controlled, then on the verge of breakdown. There's a whiff of incest. Jakob is drawn to Lisa, and perhaps she to him. As winter sets in, she becomes catatonic. Things get worse; Johannes notes that all this has happened since Jakob came. Is there any cause and effect?"
He Got Game,1998.0,Drama,Spike Lee,"Denzel Washington,Ray Allen,Rosario Dawson,Milla Jovovich,Hill Harper",English,A basketball player's father must try to convince him to go to a college so he can get a shorter prison sentence.
Immortal Beloved,1994.0,Drama|Romance,Bernard Rose,"Gary Oldman,Jeroen Krabbé,Isabella Rossellini,Johanna ter Steege,Marco Hofschneider",English,"A chronicle of the life of infamous classical composer Ludwig van Beethoven and his painful struggle with hearing loss. Following Beethoven's death in 1827, his assistant, Schindler, searches for an elusive woman referred to in the composer's love letters as ""immortal beloved."" As Schindler solves the mystery, a series of flashbacks reveal Beethoven's transformation from passionate young man to troubled musical genius."
"Cry in the Dark, A",1988.0,Drama,Fred Schepisi,"Meryl Streep,Sam Neill,Dale Reeves,David Hoflin,Jason Reason",English,"Based on the true story of Lindy Chamberlain who, during a family camping trip to Ayers Rock in central Australia, claimed she witnessed a dingo take her baby daughter, Azaria, from their tent. Azaria's body was never found and, after investigations and two public inquests, she is charged with murder."
Shakespeare in Love,1998.0,Comedy|Romance,John Madden,"Joseph Fiennes,Gwyneth Paltrow,Geoffrey Rush,Tom Wilkinson,Judi Dench",English,"Young Shakespeare is forced to stage his latest comedy, ""Romeo and Ethel, the Pirate's Daughter,"" before it's even written. When a lovely noblewoman auditions for a role, they fall into forbidden love -- and his play finds a new life (and title). As their relationship progresses, Shakespeare's comedy soon transforms into tragedy."
Murphy's Romance,1985.0,Comedy|Romance,Martin Ritt,"Sally Field,James Garner,Brian Kerwin,Corey Haim,Dennis Burkley",English,"Emma, a divorced single mother seeking to start her life over, moves to a small town in Arizona. She befriends Murphy, the older local pharmacist, but things turn complicated when her ex-husband shows up."
Tank Girl,1995.0,Action|Comedy|Musical|Sci-Fi,Rachel Talalay,"Lori Petty,Naomi Watts,Malcolm McDowell,Ice-T,Jeff Kober",English,"After a comet disrupts the rain cycle of Earth, the planet has become a desolate, barren desert by the year 2033. With resources scarce, Kesslee — head of the powerful and evil Water & Power Corporation, the de facto government — has taken control of the water supply. Unwilling to cower under Kesslee's tyrannical rule, a pair of outlaws known as Tank Girl and Jet Girl rise up, joining the mysterious rebel Rippers to destroy the corrupt system."
Keys to Tulsa,1997.0,Crime,Leslie Greif,"Eric Stoltz,James Spader,Deborah Kara Unger,Joanna Going,Michael Rooker",English,"Richter Boudreau is on a bad streak: Languishing in the shadow of his celebrity mother, he loses his job as a film critic for the town paper, and now he's been approached with a dangerous proposition that ultimately leads to blackmail. Richter's friend Ronnie ropes him into a scheme to steal the inheritance of his wife, Vicky."
Once Upon a Time in the West,1968.0,Western,Sergio Leone,"Claudia Cardinale,Henry Fonda,Jason Robards,Charles Bronson,Gabriele Ferzetti",English,"As the railroad builders advance unstoppably through the Arizona desert on their way to the sea, Jill arrives in the small town of Flagstone with the intention of starting a new life."
Chungking Express,1994.0,Drama|Mystery|Romance,Wong Kar-wai,"Takeshi Kaneshiro,Brigitte Lin,Tony Leung Chiu-wai,Faye Wong,Valerie Chow","广州话 / 廣州話,普通话,हिन्दी,English,日本語,ਪੰਜਾਬੀ,اردو","Two melancholic Hong Kong policemen fall in love: one with a mysterious underworld figure, the other with a beautiful and ethereal server at a late-night restaurant."
Galaxy Quest,1999.0,Adventure|Comedy|Sci-Fi,Dean Parisot,"Tim Allen,Sigourney Weaver,Alan Rickman,Tony Shalhoub,Sam Rockwell",English,"For four years, the courageous crew of the NSEA protector - ""Commander Peter Quincy Taggart"" (Tim Allen), ""Lt. Tawny Madison (Sigourney Weaver) and ""Dr.Lazarus"" (Alan Rickman) - set off on a thrilling and often dangerous mission in space...and then their series was cancelled! Now, twenty years later, aliens under attack have mistaken the Galaxy Quest television transmissions for ""historical documents"" and beam up the crew of has-been actors to save the universe. With no script, no director and no clue, the actors must turn in the performances of their lives."
Daens,1992.0,Drama,Stijn Coninx,"Jan Decleir,Gérard Desarthe,Antje De Boeck,Michaël Pas,Karel Baetens","Nederlands,Français,Latin,Español","In the 1890s, Father Adolf Daens goes to Aalst, a textile town where child labor is rife, pay and working conditions are horrible, the poor have no vote, and the Catholic church backs the petite bourgeoisie in oppressing workers. He writes a few columns for the Catholic paper, and soon workers are listening and the powerful are in an uproar. He's expelled from the Catholic party, so he starts the Christian Democrats and is elected to Parliament. After Rome disciplines him, he must choose between two callings, as priest and as champion of workers. In subplots, a courageous young woman falls in love with a socialist and survives a shop foreman's rape; children die; prelates play billiards."
House,1986.0,Comedy|Horror,Steve Miner,"William Katt,George Wendt,Richard Moll,Kay Lenz,Mary Stavin",English,"Roger Cobb is an author who has just separated from his wife. He moves into a new house and tries to work on a novel based on his experiences in the Vietnam War. Strange things start happening around him; little things at first, but as they become more frequent, Cobb becomes aware that the house resents his presence."
"Scarlet Letter, The",1995.0,Drama,Roland Joffé,"Demi Moore,Gary Oldman,Robert Duvall,Robert Prosky,Edward Hardwicke",English,"Set in puritanical Boston in the mid 1600s, the story of seamstress Hester Prynne, who is outcast after she becomes pregnant by a respected reverend. She refuses to divulge the name of the father, is ""convicted"" of adultery and forced to wear a scarlet ""A"" until an Indian attack unites the Puritans and leads to a reevaluation of their laws and morals."
Clean Slate (Coup de Torchon),1981.0,Crime,Bertrand Tavernier,"Philippe Noiret,Isabelle Huppert,Jean-Pierre Marielle,Stéphane Audran,Eddy Mitchell","English,Français","A pathetic police chief, humiliated by everyone around him, suddenly wants a clean slate in life, and resorts to drastic means to achieve it."
Kundun,1997.0,Drama,Martin Scorsese,"Tenzin Thuthob Tsarong,Tencho Gyalpo,Tsewang Migyur Khangsar,Gyurme Tethong,Robert Lin","English,普通话,","The Tibetans refer to the Dalai Lama as 'Kundun', which means 'The Presence'. He was forced to escape from his native home, Tibet, when communist China invaded and enforced an oppressive regime upon the peaceful nation. The Dalai Lama escaped to India in 1959 and has been living in exile in Dharamsala ever since."
Devil in a Blue Dress,1995.0,Crime|Film-Noir|Mystery|Thriller,Carl Franklin,"Denzel Washington,Tom Sizemore,Jennifer Beals,Don Cheadle,Maury Chaykin",English,"In late 1940s Los Angeles, Easy Rawlins is an unemployed black World War II veteran with few job prospects. At a bar, Easy meets DeWitt Albright, a mysterious white man looking for someone to investigate the disappearance of a missing white woman named Daphne Monet, who he suspects is hiding out in one of the city's black jazz clubs. Strapped for money and facing house payments, Easy takes the job, but soon finds himself in over his head."
Bliss,1997.0,Drama|Romance,Lance Young,"Craig Sheffer,Sheryl Lee,Terence Stamp,Casey Siemaszko,Spalding Gray",English,A newly married happy couple visits a sex therapist to determine why the wife can't achieve an orgasm with her husband. This causes a horrific suppressed memory to emerge and she becomes more and more distant.
"Cabinet of Dr. Ramirez, The",1991.0,Comedy,Peter Sellars,"Mikhail Baryshnikov,Joan Cusack,Peter Gallagher,Ron Vawter",,"Featuring music instead of any dialogue and set in a near Kafkaesque future, this loose remake of The Cabinet of Dr. Caligari follows a bureaucrat whom mysterious Dr. Ramirez and his hideous sidekick want as their latest victim."
Better Living Through Circuitry,1999.0,Documentary,Jon Reiss,,,"A documentary about the Electronic Dance movement of the '90s. It is the first such full-length film on the topic. It was produced by Cleopatra Pictures and Entertainment Group, presided by Cleopatra Records founder Brian Perera. The film features interviews with BT, The Crystal Method, Electric Skychurch, Genesis P-Orridge, Frankie Bones, DJ Spooky, Roni Size, and DJ Keoki."
"Woman of Paris, A",1923.0,Drama,Charlie Chaplin,"Edna Purviance,Clarence Geldart,Carl Miller,Lydia Knott,Charles K. French",No Language,"When Marie St. Clair believes she has been jilted by her artist fiance Jean, she decides to leave for Paris on her own. After spending a year in the city as a mistress of the wealthy Pierre Revel, she is reunited with Jean by chance. This leaves her with the choice between a glamorous life in Paris, and the true love she left behind."
